CellID	CD45	CD20	CD19	CD8a	CD56	CD123	CD38	Vimentin	CD14	CD68	CD45_RA	CD31	CD66b	CD3	CD25	CD45_RO	HLA_DR	CD8_CK18	CD4	DNA1	DNA2	CD16	x	y	column_centroid	row_centroid	Area	MajorAxisLength	MinorAxisLength	Eccentricity	Solidity	Extent	Orientation
1	6.026315789	0.171052632	0.026315789	0.013157895	0.026315789	0.618421053	0.171052632	17.15789474	3.105263158	4.552631579	1.828947368	1.184210526	0.223684211	0.223684211	0.026315789	1.131578947	0.118421053	0.026315789	0.736842105	17.09210526	27.40789474	0.763157895	730.7679634707174	358.60970138779385	253.1315789	4.868421053	76	11.17981232	8.798019566	0.617009213	0.95	0.690909091	0.352974485
2	0.489795918	0.020408163	0.040816327	0.020408163	0.010204082	0.030612245	0.0	0.397959184	0.214285714	0.030612245	0.5	0.010204082	0.010204082	0.173469388	0.020408163	0.183673469	0.0	0.020408163	0.020408163	10.89795918	17.42857143	0.591836735	652.535504904246	435.9274083515514	65.79591837	7.520408163	98	12.20920292	10.43820812	0.518717156	0.924528302	0.628205128	1.002749417
3	1.963636364	0.090909091	0.027272727	0.036363636	0.0	0.036363636	0.009090909	0.154545455	0.109090909	0.181818182	0.109090909	0.136363636	0.136363636	0.0	0.027272727	3.9	0.172727273	0.0	0.072727273	8.136363636	13.25454545	0.718181818	662.3468459433368	425.74483975190117	89.86363636	6.590909091	110	14.1803639	10.14155628	0.69893717	0.964912281	0.785714286	0.075603142
4	2.958333333	0.833333333	0.041666667	0.013888889	0.027777778	0.097222222	0.027777778	0.277777778	0.083333333	0.083333333	10.09722222	0.097222222	0.152777778	0.041666667	0.0	0.5	0.152777778	0.027777778	0.013888889	13.69444444	24.86111111	0.888888889	658.3212853938257	430.44279468270946	79.375	7.611111111	72	10.05031177	9.206841191	0.401006558	0.98630137	0.8	0.367360913
5	4.404255319	0.170212766	0.0	0.085106383	0.021276596	0.021276596	0.042553191	4.914893617	0.106382979	0.127659574	12.04255319	0.319148936	0.085106383	2.70212766	0.021276596	0.255319149	0.021276596	0.063829787	0.085106383	15.12765957	25.0212766	0.574468085	730.0508072662227	363.9786887791603	245.9148936	10.61702128	47	8.856869366	6.862449435	0.632186074	0.979166667	0.652777778	0.864744045
6	5.769230769	0.08974359	0.025641026	0.0	0.0	0.0	0.153846154	7.371794872	0.192307692	0.115384615	0.128205128	0.025641026	0.230769231	1.871794872	0.076923077	11.87179487	0.5	0.0	3.730769231	8.820512821	13.92307692	0.794871795	769.8028544067956	325.693238512407	339.9230769	10.5	78	10.04094183	9.897303041	0.168540733	0.975	0.78	0.0
7	2.402597403	0.857142857	0.025974026	0.012987013	0.0	0.181818182	0.012987013	0.220779221	0.090909091	0.051948052	10.05194805	0.142857143	0.077922078	0.038961039	0.090909091	0.285714286	0.064935065	0.012987013	0.0	13.46753247	22.14285714	0.506493506	699.5464078557227	394.11442416915514	172.8831169	11.63636364	77	10.20543798	9.654173095	0.324215585	0.974683544	0.7	1.318683577
8	3.471428571	0.028571429	0.028571429	0.014285714	0.0	0.014285714	0.1	2.828571429	0.285714286	0.028571429	0.028571429	0.014285714	0.257142857	1.514285714	0.071428571	9.728571429	0.371428571	0.014285714	2.514285714	12.62857143	22.01428571	0.671428571	792.7665198515617	304.37615138481465	393.2857143	11.41428571	70	9.925513598	8.973162721	0.427426257	1.0	0.777777778	-0.016331093
9	2.423076923	0.061538462	0.015384615	0.053846154	0.015384615	0.007692308	0.038461538	0.153846154	0.169230769	0.146153846	0.161538462	0.107692308	0.184615385	0.053846154	0.023076923	4.138461538	0.123076923	0.030769231	0.076923077	8.115384615	13.32307692	0.784615385	692.4030517569499	401.6050649255577	155.2692308	12.40769231	130	14.0973832	11.79432718	0.547764795	0.970149254	0.769230769	-0.973705481
10	2.303571429	0.080357143	0.017857143	0.026785714	0.017857143	0.026785714	0.017857143	0.089285714	0.223214286	0.053571429	0.214285714	0.089285714	0.071428571	0.026785714	0.026785714	4.357142857	0.151785714	0.026785714	0.116071429	7.794642857	13.20535714	0.491071429	706.8426221409908	389.254480622058	187.5803571	14.27678571	112	12.40845	11.72243885	0.327894939	0.933333333	0.717948718	-0.99354023
